# Nomogram Data - Bivariate
# Generated on: 2024-08-30 15:42:39
# Comment: PRN German CC data
# Method: lebesgue
# Number of discretization steps: 15
# Categorical threshold: 15
# Response scale: Odds ratio
Account Status_Other Plans_x1,Account Status_Other Plans_x2,Account Status_Other Plans_response,Duration (Months)_Credit Amount_x1,Duration (Months)_Credit Amount_x2,Duration (Months)_Credit Amount_response,Employment Length_Other Plans_x1,Employment Length_Other Plans_x2,Employment Length_Other Plans_response,Other Plans_Unknown1_x1,Other Plans_Unknown1_x2,Other Plans_Unknown1_response
,,,0.22103882,0.8588587,0.80299306,,,,,,
,,,0.22103882,1.0630996,0.7992137,,,,,,
,,,0.22103882,1.2673404,0.79549986,,,,,,
,,,0.22103882,1.4715812,0.7914794,,,,,,
,,,0.22103882,1.675822,0.78756213,,,,,,
,,,0.22103882,1.8800628,0.7841517,,,,,,
,,,0.22103882,2.0843036,0.78144866,,,,,,
,,,0.22103882,2.2885444,0.7794831,,,,,,
,,,0.22103882,2.4927852,0.77818596,,,,,,
,,,0.41881034,-0.36658606,0.9878193,,,,,,
,,,0.41881034,-0.16234526,1.006843,,,,,,
,,,0.41881034,0.04189554,0.9534848,,,,,,
,,,0.41881034,0.24613634,0.86195827,,,,,,
,,,0.41881034,0.45037714,0.77934086,,,,,,
,,,0.41881034,0.6546179,0.72292644,,,,,,
,,,0.41881034,0.8588587,0.68798465,,,,,,
,,,0.41881034,1.0630996,0.6658308,,,,,,
,,,0.41881034,1.2673404,0.65070766,,,,,,
,,,0.41881034,1.4715812,0.6397883,,,,,,
,,,0.41881034,1.675822,0.63179535,,,,,,
,,,0.41881034,1.8800628,0.62607414,,,,,,
,,,0.41881034,2.0843036,0.6221896,,,,,,
,,,0.41881034,2.2885444,0.6197927,,,,,,
,,,0.41881034,2.4927852,0.61858463,,,,,,
,,,0.61658186,-0.36658606,0.99412465,,,,,,
,,,0.61658186,-0.16234526,1.0453925,,,,,,
,,,0.61658186,0.04189554,1.0001585,,,,,,
,,,0.61658186,0.24613634,0.88048595,,,,,,
,,,0.61658186,0.45037714,0.75430197,,,,,,
,,,0.61658186,0.6546179,0.6604655,,,,,,
,,,0.61658186,0.8588587,0.6002147,,,,,,
,,,0.61658186,1.0630996,0.562739,,,,,,
,,,0.61658186,1.2673404,0.53885615,,,,,,
,,,0.61658186,1.4715812,0.52310026,,,,,,
,,,0.61658186,1.675822,0.51251894,,,,,,
,,,0.61658186,1.8800628,0.5054846,,,,,,
,,,0.61658186,2.0843036,0.5010233,,,,,,
,,,0.61658186,2.2885444,0.49849352,,,,,,
,,,0.61658186,2.4927852,0.49743795,,,,,,
,,,0.8143532,-0.36658606,0.9826489,,,,,,
,,,0.8143532,-0.16234526,1.0674216,,,,,,
,,,0.8143532,0.04189554,1.0463455,,,,,,
,,,0.8143532,0.24613634,0.91551846,,,,,,
,,,0.8143532,0.45037714,0.75287354,,,,,,
,,,0.8143532,0.6546179,0.623117,,,,,,
,,,0.8143532,0.8588587,0.53832406,,,,,,
,,,0.8143532,1.0630996,0.48655528,,,,,,
,,,0.8143532,1.2673404,0.4549567,,,,,,
,,,0.8143532,1.4715812,0.43521026,,,,,,
,,,0.8143532,1.675822,0.42263418,,,,,,
,,,0.8143532,1.8800628,0.41464928,,,,,,
,,,0.8143532,2.0843036,0.40978372,,,,,,
,,,0.8143532,2.2885444,0.4071442,,,,,,
,,,0.8143532,2.4927852,0.4061496,,,,,,
,,,1.0121248,-0.36658606,0.9577173,,,,,,
,,,1.0121248,-0.16234526,1.0729587,,,,,,
,,,1.0121248,0.04189554,1.0872383,,,,,,
,,,1.0121248,0.24613634,0.96401036,,,,,,
,,,1.0121248,0.45037714,0.7748414,,,,,,
,,,1.0121248,0.6546179,0.61012596,,,,,,
,,,1.0121248,0.8588587,0.4996242,,,,,,
,,,1.0121248,1.0630996,0.43288806,,,,,,
,,,1.0121248,1.2673404,0.39342144,,,,,,
,,,1.0121248,1.4715812,0.3697339,,,,,,
,,,1.0121248,1.675822,0.3552362,,,,,,
,,,1.0121248,1.8800628,0.34633172,,,,,,
,,,1.0121248,2.0843036,0.34103522,,,,,,
,,,1.0121248,2.2885444,0.33820385,,,,,,
,,,1.0121248,2.4927852,0.3371402,,,,,,
,,,1.2098962,-0.36658606,0.92486316,,,,,,
,,,1.2098962,-0.16234526,1.0647769,,,,,,
,,,1.2098962,0.04189554,1.1188982,,,,,,
,,,1.2098962,0.24613634,1.0203828,,,,,,
,,,1.2098962,0.45037714,0.8179998,,,,,,
,,,1.2098962,0.6546179,0.620349,,,,,,
,,,1.2098962,0.8588587,0.4817322,,,,,,
,,,1.2098962,1.0630996,0.39795715,,,,,,
,,,1.2098962,1.2673404,0.3495273,,,,,,
,,,1.2098962,1.4715812,0.32138494,,,,,,
,,,1.2098962,1.675822,0.3047135,,,,,,
,,,1.2098962,1.8800628,0.29473993,,,,,,
,,,1.2098962,2.0843036,0.28889483,,,,,,
,,,1.2098962,2.2885444,0.28575617,,,,,,
,,,1.2098962,2.4927852,0.28449816,,,,,,
,,,1.4076678,-0.36658606,0.88901293,,,,,,
,,,1.4076678,-0.16234526,1.0468718,,,,,,
,,,1.4076678,0.04189554,1.1392318,,,,,,
,,,1.4076678,0.24613634,1.0777849,,,,,,
,,,1.4076678,0.45037714,0.87807727,,,,,,
,,,1.4076678,0.6546179,0.65244126,,,,,,
,,,1.4076678,0.8588587,0.48313135,,,,,,
,,,1.4076678,1.0630996,0.37912956,,,,,,
,,,1.4076678,1.2673404,0.3198043,,,,,,
,,,1.4076678,1.4715812,0.2862191,,,,,,
,,,1.4076678,1.675822,0.26687536,,,,,,
,,,1.4076678,1.8800628,0.25556278,,,,,,
,,,1.4076678,2.0843036,0.24900208,,,,,,
,,,1.4076678,2.2885444,0.24543232,,,,,,
,,,1.4076678,2.4927852,0.2438714,,,,,,
,,,1.6054393,-0.36658606,0.8536826,,,,,,
,,,1.6054393,-0.16234526,1.0231961,,,,,,
,,,1.6054393,0.04189554,1.1481882,,,,,,
,,,1.6054393,0.24613634,1.129749,,,,,,
,,,1.6054393,0.45037714,0.9487888,,,,,,
,,,1.6054393,0.6546179,0.7043265,,,,,,
,,,1.6054393,0.8588587,0.50308174,,,,,,
,,,1.6054393,1.0630996,0.37495387,,,,,,
,,,1.6054393,1.2673404,0.30198926,,,,,,
,,,1.6054393,1.4715812,0.26149255,,,,,,
,,,1.6054393,1.675822,0.23873805,,,,,,
,,,1.6054393,1.8800628,0.22570752,,,,,,
,,,1.6054393,2.0843036,0.21822274,,,,,,
,,,1.6054393,2.2885444,0.21409284,,,,,,
,,,1.6054393,2.4927852,0.21213499,,,,,,
,,,1.8032107,-0.36658606,0.8209651,,,,,,
,,,1.8032107,-0.16234526,0.9969736,,,,,,
,,,1.8032107,0.04189554,1.1472795,,,,,,
,,,1.8032107,0.24613634,1.1716318,,,,,,
,,,1.8032107,0.45037714,1.0225712,,,,,,
,,,1.8032107,0.6546179,0.7724233,,,,,,
,,,1.8032107,0.8588587,0.5411062,,,,,,
,,,1.8032107,1.0630996,0.38497943,,,,,,
,,,1.8032107,1.2673404,0.29486403,,,,,,
,,,1.8032107,1.4715812,0.24544413,,,,,,
,,,1.8032107,1.675822,0.21826072,,,,,,
,,,1.8032107,1.8800628,0.20300539,,,,,,
,,,1.8032107,2.0843036,0.19433694,,,,,,
,,,1.8032107,2.2885444,0.18950523,,,,,,
,,,1.8032107,2.4927852,0.18706371,,,,,,
,,,2.0009823,-0.36658606,0.7918699,,,,,,
,,,2.0009823,-0.16234526,0.9705136,,,,,,
,,,2.0009823,0.04189554,1.1388274,,,,,,
,,,2.0009823,0.24613634,1.201286,,,,,,
,,,2.0009823,0.45037714,1.0920208,,,,,,
,,,2.0009823,0.6546179,0.85122055,,,,,,
,,,2.0009823,0.8588587,0.5961815,,,,,,
,,,2.0009823,1.0630996,0.40943033,,,,,,
,,,2.0009823,1.2673404,0.29808888,,,,,,
,,,2.0009823,1.4715812,0.23711078,,,,,,
,,,2.0009823,1.675822,0.20412794,,,,,,
,,,2.0009823,1.8800628,0.18597332,,,,,,
,,,2.0009823,2.0843036,0.17578891,,,,,,
,,,2.0009823,2.2885444,0.17008786,,,,,,
,,,2.0009823,2.4927852,0.16707379,,,,,,
,,,2.1987538,-0.36658606,0.7667058,,,,,,
,,,2.1987538,-0.16234526,0.9452989,,,,,,
,,,2.1987538,0.04189554,1.1252967,,,,,,
,,,2.1987538,0.24613634,1.2188479,,,,,,
,,,2.1987538,0.45037714,1.1514285,,,,,,
,,,2.1987538,0.6546179,0.93369615,,,,,,
,,,2.1987538,0.8588587,0.66585225,,,,,,
,,,2.1987538,1.0630996,0.4486921,,,,,,
,,,2.1987538,1.2673404,0.31202692,,,,,,
,,,2.1987538,1.4715812,0.23619862,,,,,,
,,,2.1987538,1.675822,0.19559734,,,,,,
,,,2.1987538,1.8800628,0.17364143,,,,,,
,,,2.1987538,2.0843036,0.1615046,,,,,,
,,,2.1987538,2.2885444,0.15472308,,,,,,
,,,2.1987538,2.4927852,0.15103377,,,,,,
