# Nomogram Data - Bivariate
# Generated on: 2024-08-30 14:55:32
# Comment: MLP German CC data
# Method: dirac
# Number of discretization steps: 15
# Categorical threshold: 15
# Response scale: Odds ratio
Account Status_Other Plans_x1,Account Status_Other Plans_x2,Account Status_Other Plans_response,Account Status_Unknown1_x1,Account Status_Unknown1_x2,Account Status_Unknown1_response,Duration (Months)_Credit Amount_x1,Duration (Months)_Credit Amount_x2,Duration (Months)_Credit Amount_response,Duration (Months)_Savings/Bonds_x1,Duration (Months)_Savings/Bonds_x2,Duration (Months)_Savings/Bonds_response,Credit History_Other Plans_x1,Credit History_Other Plans_x2,Credit History_Other Plans_response,Credit Amount_Unknown2_x1,Credit Amount_Unknown2_x2,Credit Amount_Unknown2_response,Employment Length_Other Plans_x1,Employment Length_Other Plans_x2,Employment Length_Other Plans_response
0.8038104,-0.70686704,1.1290125,,,,-0.57004726,1.675822,1.3457581,-0.17450422,0.0,1.0,0.46687302,-0.70686704,1.1398966,0.6546179,0.0,1.0,0.41837072,-0.70686704,1.1977931
0.8038104,0.0,1.0,,,,-0.57004726,1.8800628,1.4011108,-0.17450422,0.32229185,1.0212035,0.46687302,0.0,1.0,0.6546179,1.7215279,1.2024002,0.41837072,0.0,1.0
,,,,,,-0.57004726,2.0843036,1.4540343,-0.17450422,0.6445837,1.0520895,0.93374604,-1.4137341,1.5771838,0.8588587,0.0,1.0,0.83674145,-1.4137341,1.8575933
,,,,,,-0.57004726,2.2885444,1.5036622,-0.17450422,0.9668755,1.0843606,0.93374604,-0.70686704,1.13675,0.8588587,1.7215279,1.2828423,0.83674145,-0.70686704,1.1864569
,,,,,,-0.57004726,2.4927852,1.5494281,-0.17450422,1.2891674,1.1134503,0.93374604,0.0,1.0,1.0630996,0.0,1.0,0.83674145,0.0,1.0
,,,,,,-0.37227574,-0.36658606,1.0126513,0.02326727,0.0,1.0,,,,1.0630996,1.7215279,1.3711145,,,
,,,,,,-0.37227574,-0.16234526,1.000812,0.02326727,0.32229185,0.997476,,,,1.2673404,0.0,1.0,,,
,,,,,,-0.37227574,0.04189554,1.0009695,0.02326727,0.6445837,0.9935338,,,,1.2673404,1.7215279,1.4677519,,,
,,,,,,-0.37227574,0.24613634,1.0120381,0.02326727,0.9668755,0.98940176,,,,1.4715812,0.0,1.0,,,
,,,,,,-0.37227574,0.45037714,1.0322614,0.02326727,1.2891674,0.98575604,,,,1.4715812,1.7215279,1.5732107,,,
,,,,,,-0.37227574,0.6546179,1.0595814,0.22103882,0.0,1.0,,,,1.675822,0.0,1.0,,,
,,,,,,-0.37227574,0.8588587,1.0919194,0.22103882,0.32229185,0.97952837,,,,1.675822,1.7215279,1.6875771,,,
,,,,,,-0.37227574,1.0630996,1.1273588,0.22103882,0.6445837,0.94434595,,,,1.8800628,0.0,1.0,,,
,,,,,,-0.37227574,1.2673404,1.1642303,0.22103882,0.9668755,0.90703475,,,,1.8800628,1.7215279,1.8104234,,,
,,,,,,-0.37227574,1.4715812,1.2011455,0.22103882,1.2891674,0.87467027,,,,2.0843036,0.0,1.0,,,
,,,,,,-0.37227574,1.675822,1.2370079,0.41881037,0.0,1.0,,,,2.0843036,1.7215279,1.9407885,,,
,,,,,,-0.37227574,1.8800628,1.2710016,0.41881037,0.32229185,0.968639,,,,2.2885444,0.0,1.0,,,
,,,,,,-0.37227574,2.0843036,1.3025765,0.41881037,0.6445837,0.90720314,,,,2.2885444,1.7215279,2.0772345,,,
,,,,,,-0.37227574,2.2885444,1.3314141,0.41881037,0.9668755,0.84050363,,,,2.4927852,0.0,1.0,,,
,,,,,,-0.37227574,2.4927852,1.3573873,0.41881037,1.2891674,0.7832288,,,,2.4927852,1.7215279,2.2179506,,,
,,,,,,-0.17450422,-0.36658606,1.0068135,0.6165818,0.0,1.0,,,,,,,,,
,,,,,,-0.17450422,-0.16234526,1.0005978,0.6165818,0.32229185,0.9652195,,,,,,,,,
,,,,,,-0.17450422,0.04189554,1.000454,0.6165818,0.6445837,0.8835123,,,,,,,,,
,,,,,,-0.17450422,0.24613634,1.0059621,0.6165818,0.9668755,0.7913868,,,,,,,,,
,,,,,,-0.17450422,0.45037714,1.016182,0.6165818,1.2891674,0.7123142,,,,,,,,,
,,,,,,-0.17450422,0.6546179,1.0299002,0.8143532,0.0,1.0,,,,,,,,,
,,,,,,-0.17450422,0.8588587,1.0458634,0.8143532,0.32229185,0.96876895,,,,,,,,,
,,,,,,-0.17450422,1.0630996,1.0629433,0.8143532,0.6445837,0.8733478,,,,,,,,,
,,,,,,-0.17450422,1.2673404,1.0802194,0.8143532,0.9668755,0.75981694,,,,,,,,,
,,,,,,-0.17450422,1.4715812,1.0970025,0.8143532,1.2891674,0.6612674,,,,,,,,,
,,,,,,-0.17450422,1.675822,1.1128205,1.0121248,0.0,1.0,,,,,,,,,
,,,,,,-0.17450422,1.8800628,1.1273832,1.0121248,0.32229185,0.97804666,,,,,,,,,
,,,,,,-0.17450422,2.0843036,1.1405475,1.0121248,0.6445837,0.8755869,,,,,,,,,
,,,,,,-0.17450422,2.2885444,1.1522766,1.0121248,0.9668755,0.74483436,,,,,,,,,
,,,,,,-0.17450422,2.4927852,1.1626078,1.0121248,1.2891674,0.628565,,,,,,,,,
,,,,,,0.02326727,-0.36658606,0.99898636,1.2098962,0.0,1.0,,,,,,,,,
,,,,,,0.02326727,-0.16234526,0.99988496,1.2098962,0.32229185,0.99139345,,,,,,,,,
,,,,,,0.02326727,0.04189554,0.9999438,1.2098962,0.6445837,0.88817924,,,,,,,,,
,,,,,,0.02326727,0.24613634,0.9992005,1.2098962,0.9668755,0.7446921,,,,,,,,,
,,,,,,0.02326727,0.45037714,0.9977895,1.2098962,1.2891674,0.6123222,,,,,,,,,
,,,,,,0.02326727,0.6546179,0.9959013,1.4076678,0.0,1.0,,,,,,,,,
,,,,,,0.02326727,0.8588587,0.99373496,1.4076678,0.32229185,1.0070845,,,,,,,,,
,,,,,,0.02326727,1.0630996,0.9914655,1.4076678,0.6445837,0.90849805,,,,,,,,,
,,,,,,0.02326727,1.2673404,0.98922795,1.4076678,0.9668755,0.7570584,,,,,,,,,
,,,,,,0.02326727,1.4715812,0.98711264,1.4076678,1.2891674,0.6105337,,,,,,,,,
,,,,,,0.02326727,1.675822,0.9851733,1.6054393,0.0,1.0,,,,,,,,,
,,,,,,0.02326727,1.8800628,0.98343486,1.6054393,0.32229185,1.023615,,,,,,,,,
,,,,,,0.02326727,2.0843036,0.981902,1.6054393,0.6445837,0.9337401,,,,,,,,,
,,,,,,0.02326727,2.2885444,0.9805687,1.6054393,0.9668755,0.77917457,,,,,,,,,
,,,,,,0.02326727,2.4927852,0.97941744,1.6054393,1.2891674,0.6211045,,,,,,,,,
,,,,,,0.22103882,-0.36658606,0.98962593,1.8032107,0.0,1.0,,,,,,,,,
,,,,,,0.22103882,-0.16234526,0.9985525,1.8032107,0.32229185,1.0398602,,,,,,,,,
,,,,,,0.22103882,0.04189554,0.9995441,1.8032107,0.6445837,0.96130186,,,,,,,,,
,,,,,,0.22103882,0.24613634,0.99273217,1.8032107,0.9668755,0.80803955,,,,,,,,,
,,,,,,0.22103882,0.45037714,0.9793944,1.8032107,1.2891674,0.64176744,,,,,,,,,
,,,,,,0.22103882,0.6546179,0.9615059,2.0009823,0.0,1.0,,,,,,,,,
,,,,,,0.22103882,0.8588587,0.9411809,2.0009823,0.32229185,1.0551096,,,,,,,,,
,,,,,,0.22103882,1.0630996,0.92024493,2.0009823,0.6445837,0.98907125,,,,,,,,,
,,,,,,0.22103882,1.2673404,0.9000317,2.0009823,0.9668755,0.84067696,,,,,,,,,
,,,,,,0.22103882,1.4715812,0.88136846,2.0009823,1.2891674,0.6700261,,,,,,,,,
,,,,,,0.22103882,1.675822,0.86466885,2.1987538,0.0,1.0,,,,,,,,,
,,,,,,0.22103882,1.8800628,0.85005337,2.1987538,0.32229185,1.0690112,,,,,,,,,
,,,,,,0.22103882,2.0843036,0.8374598,2.1987538,0.6445837,1.0155673,,,,,,,,,
,,,,,,0.22103882,2.2885444,0.8267273,2.1987538,0.9668755,0.8744293,,,,,,,,,
,,,,,,0.22103882,2.4927852,0.8176482,2.1987538,1.2891674,0.70320743,,,,,,,,,
,,,,,,0.41881037,-0.36658606,0.9795967,,,,,,,,,,,,
,,,,,,0.41881037,-0.16234526,0.9966511,,,,,,,,,,,,
,,,,,,0.41881037,0.04189554,0.9993291,,,,,,,,,,,,
,,,,,,0.41881037,0.24613634,0.9874358,,,,,,,,,,,,
,,,,,,0.41881037,0.45037714,0.96320313,,,,,,,,,,,,
,,,,,,0.41881037,0.6546179,0.9304493,,,,,,,,,,,,
,,,,,,0.41881037,0.8588587,0.8933803,,,,,,,,,,,,
,,,,,,0.41881037,1.0630996,0.8556182,,,,,,,,,,,,
,,,,,,0.41881037,1.2673404,0.81973076,,,,,,,,,,,,
,,,,,,0.41881037,1.4715812,0.7872091,,,,,,,,,,,,
,,,,,,0.41881037,1.675822,0.7586896,,,,,,,,,,,,
,,,,,,0.41881037,1.8800628,0.73423636,,,,,,,,,,,,
,,,,,,0.41881037,2.0843036,0.71358675,,,,,,,,,,,,
,,,,,,0.41881037,2.2885444,0.69632405,,,,,,,,,,,,
,,,,,,0.41881037,2.4927852,0.6819834,,,,,,,,,,,,
,,,,,,0.6165818,-0.36658606,0.9699353,,,,,,,,,,,,
,,,,,,0.6165818,-0.16234526,0.99439794,,,,,,,,,,,,
,,,,,,0.6165818,0.04189554,0.99931836,,,,,,,,,,,,
,,,,,,0.6165818,0.24613634,0.98384035,,,,,,,,,,,,
,,,,,,0.6165818,0.45037714,0.9507533,,,,,,,,,,,,
,,,,,,0.6165818,0.6546179,0.905424,,,,,,,,,,,,
,,,,,,0.6165818,0.8588587,0.85400325,,,,,,,,,,,,
,,,,,,0.6165818,1.0630996,0.80186135,,,,,,,,,,,,
,,,,,,0.6165818,1.2673404,0.7527789,,,,,,,,,,,,
,,,,,,0.6165818,1.4715812,0.7088766,,,,,,,,,,,,
,,,,,,0.6165818,1.675822,0.6709622,,,,,,,,,,,,
,,,,,,0.6165818,1.8800628,0.63898784,,,,,,,,,,,,
,,,,,,0.6165818,2.0843036,0.61244184,,,,,,,,,,,,
,,,,,,0.6165818,2.2885444,0.59062093,,,,,,,,,,,,
,,,,,,0.6165818,2.4927852,0.57278943,,,,,,,,,,,,
,,,,,,0.8143532,-0.36658606,0.9615673,,,,,,,,,,,,
,,,,,,0.8143532,-0.16234526,0.992102,,,,,,,,,,,,
,,,,,,0.8143532,0.04189554,0.99947417,,,,,,,,,,,,
,,,,,,0.8143532,0.24613634,0.9820119,,,,,,,,,,,,
,,,,,,0.8143532,0.45037714,0.9426092,,,,,,,,,,,,
,,,,,,0.8143532,0.6546179,0.88764215,,,,,,,,,,,,
,,,,,,0.8143532,0.8588587,0.82478255,,,,,,,,,,,,
,,,,,,0.8143532,1.0630996,0.76091945,,,,,,,,,,,,
,,,,,,0.8143532,1.2673404,0.7009808,,,,,,,,,,,,
,,,,,,0.8143532,1.4715812,0.64773387,,,,,,,,,,,,
,,,,,,0.8143532,1.675822,0.60219973,,,,,,,,,,,,
,,,,,,0.8143532,1.8800628,0.5642555,,,,,,,,,,,,
,,,,,,0.8143532,2.0843036,0.53316903,,,,,,,,,,,,
,,,,,,0.8143532,2.2885444,0.50797087,,,,,,,,,,,,
,,,,,,0.8143532,2.4927852,0.48767018,,,,,,,,,,,,
,,,,,,1.0121248,-0.36658606,0.9551032,,,,,,,,,,,,
,,,,,,1.0121248,-0.16234526,0.99006987,,,,,,,,,,,,
,,,,,,1.0121248,0.04189554,0.9997235,,,,,,,,,,,,
,,,,,,1.0121248,0.24613634,0.9816194,,,,,,,,,,,,
,,,,,,1.0121248,0.45037714,0.93840504,,,,,,,,,,,,
,,,,,,1.0121248,0.6546179,0.87687373,,,,,,,,,,,,
,,,,,,1.0121248,0.8588587,0.80563784,,,,,,,,,,,,
,,,,,,1.0121248,1.0630996,0.7327237,,,,,,,,,,,,
,,,,,,1.0121248,1.2673404,0.6640633,,,,,,,,,,,,
,,,,,,1.0121248,1.4715812,0.60309947,,,,,,,,,,,,
,,,,,,1.0121248,1.675822,0.5511699,,,,,,,,,,,,
,,,,,,1.0121248,1.8800628,0.5081871,,,,,,,,,,,,
,,,,,,1.0121248,2.0843036,0.47328544,,,,,,,,,,,,
,,,,,,1.0121248,2.2885444,0.44528893,,,,,,,,,,,,
,,,,,,1.0121248,2.4927852,0.42299095,,,,,,,,,,,,
,,,,,,1.2098962,-0.36658606,0.9507835,,,,,,,,,,,,
,,,,,,1.2098962,-0.16234526,0.9885278,,,,,,,,,,,,
,,,,,,1.2098962,0.04189554,0.9999834,,,,,,,,,,,,
,,,,,,1.2098962,0.24613634,0.9821089,,,,,,,,,,,,
,,,,,,1.2098962,0.45037714,0.93713844,,,,,,,,,,,,
,,,,,,1.2098962,0.6546179,0.8718185,,,,,,,,,,,,
,,,,,,1.2098962,0.8588587,0.79512656,,,,,,,,,,,,
,,,,,,1.2098962,1.0630996,0.71574914,,,,,,,,,,,,
,,,,,,1.2098962,1.2673404,0.6403726,,,,,,,,,,,,
,,,,,,1.2098962,1.4715812,0.573088,,,,,,,,,,,,
,,,,,,1.2098962,1.675822,0.5156559,,,,,,,,,,,,
,,,,,,1.2098962,1.8800628,0.468171,,,,,,,,,,,,
,,,,,,1.2098962,2.0843036,0.42976514,,,,,,,,,,,,
,,,,,,1.2098962,2.2885444,0.39914924,,,,,,,,,,,,
,,,,,,1.2098962,2.4927852,0.37496042,,,,,,,,,,,,
,,,,,,1.4076678,-0.36658606,0.9485306,,,,,,,,,,,,
,,,,,,1.4076678,-0.16234526,0.9875902,,,,,,,,,,,,
,,,,,,1.4076678,0.04189554,1.0001855,,,,,,,,,,,,
,,,,,,1.4076678,0.24613634,0.9828995,,,,,,,,,,,,
,,,,,,1.4076678,0.45037714,0.93756264,,,,,,,,,,,,
,,,,,,1.4076678,0.6546179,0.8706312,,,,,,,,,,,,
,,,,,,1.4076678,0.8588587,0.79101175,,,,,,,,,,,,
,,,,,,1.4076678,1.0630996,0.70758516,,,,,,,,,,,,
,,,,,,1.4076678,1.2673404,0.6274502,,,,,,,,,,,,
,,,,,,1.4076678,1.4715812,0.555207,,,,,,,,,,,,
,,,,,,1.4076678,1.675822,0.49307796,,,,,,,,,,,,
,,,,,,1.4076678,1.8800628,0.44147426,,,,,,,,,,,,
,,,,,,1.4076678,2.0843036,0.3996742,,,,,,,,,,,,
,,,,,,1.4076678,2.2885444,0.36639863,,,,,,,,,,,,
,,,,,,1.4076678,2.4927852,0.34021014,,,,,,,,,,,,
,,,,,,1.6054393,-0.36658606,0.9480702,,,,,,,,,,,,
,,,,,,1.6054393,-0.16234526,0.9872722,,,,,,,,,,,,
,,,,,,1.6054393,0.04189554,1.0002882,,,,,,,,,,,,
,,,,,,1.6054393,0.24613634,0.98352593,,,,,,,,,,,,
,,,,,,1.6054393,0.45037714,0.9385268,,,,,,,,,,,,
,,,,,,1.6054393,0.6546179,0.87141955,,,,,,,,,,,,
,,,,,,1.6054393,0.8588587,0.79082036,,,,,,,,,,,,
,,,,,,1.6054393,1.0630996,0.7054509,,,,,,,,,,,,
,,,,,,1.6054393,1.2673404,0.62245935,,,,,,,,,,,,
,,,,,,1.6054393,1.4715812,0.54670507,,,,,,,,,,,,
,,,,,,1.6054393,1.675822,0.48079368,,,,,,,,,,,,
,,,,,,1.6054393,1.8800628,0.42551467,,,,,,,,,,,,
,,,,,,1.6054393,2.0843036,0.38042355,,,,,,,,,,,,
,,,,,,1.6054393,2.2885444,0.34438694,,,,,,,,,,,,
,,,,,,1.6054393,2.4927852,0.31599826,,,,,,,,,,,,
,,,,,,1.8032107,-0.36658606,0.9490391,,,,,,,,,,,,
,,,,,,1.8032107,-0.16234526,0.9875144,,,,,,,,,,,,
,,,,,,1.8032107,0.04189554,1.0002735,,,,,,,,,,,,
,,,,,,1.8032107,0.24613634,0.98369265,,,,,,,,,,,,
,,,,,,1.8032107,0.45037714,0.9391734,,,,,,,,,,,,
,,,,,,1.8032107,0.6546179,0.87260944,,,,,,,,,,,,
,,,,,,1.8032107,0.8588587,0.7923005,,,,,,,,,,,,
,,,,,,1.8032107,1.0630996,0.70663357,,,,,,,,,,,,
,,,,,,1.8032107,1.2673404,0.62251663,,,,,,,,,,,,
,,,,,,1.8032107,1.4715812,0.54477525,,,,,,,,,,,,
,,,,,,1.8032107,1.675822,0.47619918,,,,,,,,,,,,
,,,,,,1.8032107,1.8800628,0.4179008,,,,,,,,,,,,
,,,,,,1.8032107,2.0843036,0.369777,,,,,,,,,,,,
,,,,,,1.8032107,2.2885444,0.33095703,,,,,,,,,,,,
,,,,,,1.8032107,2.4927852,0.30018473,,,,,,,,,,,,
,,,,,,2.0009823,-0.36658606,0.951076,,,,,,,,,,,,
,,,,,,2.0009823,-0.16234526,0.9882229,,,,,,,,,,,,
,,,,,,2.0009823,0.04189554,1.0001464,,,,,,,,,,,,
,,,,,,2.0009823,0.24613634,0.9832774,,,,,,,,,,,,
,,,,,,2.0009823,0.45037714,0.9390051,,,,,,,,,,,,
,,,,,,2.0009823,0.6546179,0.8731272,,,,,,,,,,,,
,,,,,,2.0009823,0.8588587,0.79372543,,,,,,,,,,,,
,,,,,,2.0009823,1.0630996,0.70884144,,,,,,,,,,,,
,,,,,,2.0009823,1.2673404,0.624998,,,,,,,,,,,,
,,,,,,2.0009823,1.4715812,0.54673636,,,,,,,,,,,,
,,,,,,2.0009823,1.675822,0.47677493,,,,,,,,,,,,
,,,,,,2.0009823,1.8800628,0.41638106,,,,,,,,,,,,
,,,,,,2.0009823,2.0843036,0.3657464,,,,,,,,,,,,
,,,,,,2.0009823,2.2885444,0.3243201,,,,,,,,,,,,
,,,,,,2.0009823,2.4927852,0.29110056,,,,,,,,,,,,
,,,,,,2.1987538,-0.36658606,0.95386475,,,,,,,,,,,,
,,,,,,2.1987538,-0.16234526,0.9892906,,,,,,,,,,,,
,,,,,,2.1987538,0.04189554,0.9999213,,,,,,,,,,,,
,,,,,,2.1987538,0.24613634,0.9822836,,,,,,,,,,,,
,,,,,,2.1987538,0.45037714,0.937838,,,,,,,,,,,,
,,,,,,2.1987538,0.6546179,0.87241054,,,,,,,,,,,,
,,,,,,2.1987538,0.8588587,0.7940053,,,,,,,,,,,,
,,,,,,2.1987538,1.0630996,0.7104183,,,,,,,,,,,,
,,,,,,2.1987538,1.2673404,0.62778395,,,,,,,,,,,,
,,,,,,2.1987538,1.4715812,0.5502265,,,,,,,,,,,,
,,,,,,2.1987538,1.675822,0.48017088,,,,,,,,,,,,
,,,,,,2.1987538,1.8800628,0.41880858,,,,,,,,,,,,
,,,,,,2.1987538,2.0843036,0.36647493,,,,,,,,,,,,
,,,,,,2.1987538,2.2885444,0.32289696,,,,,,,,,,,,
,,,,,,2.1987538,2.4927852,0.28737697,,,,,,,,,,,,
